cycle_number,energy_charge,capacity_charge,energy_discharge,capacity_discharge,cycle_start,cycle_duration,filename,battery_name,batch,cell_id,anode,cathode,electrolyte,dataset_name,eol_cycle,eol_class,eol_class_encoded
2323,-1.0207726321129085,-1.1621376768604859,-1.2082869282001372,-1.5500044659387642,1.6704534372303361,1.3457300606971916,batch_B28B_cell_15.h5,batch_B28B_cell_15,B28B,15,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.085150785911921,-1.229684724680667,-1.2609124370214602,-1.6162035253642593,1.6657835581613045,1.3591102433371514,batch_B28B_cell_4.h5,batch_B28B_cell_4,B28B,4,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.0427168535363793,-1.2186330575894921,-1.3437658794060499,-1.620434329956911,1.6686272590443825,1.3532894682427503,batch_B28B_cell_9.h5,batch_B28B_cell_9,B28B,9,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.3820210136046052,-1.562423751791352,-1.4332040714741647,-1.8528586739103712,1.6641465996828595,1.362527185452239,batch_B28B_cell_5.h5,batch_B28B_cell_5,B28B,5,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9309288175385703,-1.099492084575269,-1.1964122885388704,-1.4523364459421708,1.6698768874210985,1.362196763324184,batch_B28B_cell_14.h5,batch_B28B_cell_14,B28B,14,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9926077357161078,-1.1495864336632993,-1.259551077417926,-1.595744266084067,1.6667096533042507,1.359707570600279,batch_B28B_cell_3.h5,batch_B28B_cell_3,B28B,3,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9520560343767459,-1.0986957787217573,-1.1798330726811672,-1.4431823942088164,1.6671381794523896,1.3563933669296755,batch_B28B_cell_12.h5,batch_B28B_cell_12,B28B,12,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.0365518152886946,-1.19004948386411,-1.2752158699460423,-1.627718402124143,1.6680209048321606,1.3639905869205444,batch_B28B_cell_1.h5,batch_B28B_cell_1,B28B,1,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9937541457436938,-1.1517236575630803,-1.2516026545783643,-1.5394108520088128,1.6672660461275597,1.361008402021618,batch_B28B_cell_10.h5,batch_B28B_cell_10,B28B,10,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9839443384977619,-1.1438861896462065,-1.1851267947209245,-1.4798842264807153,1.6656349824344951,1.3515574706338964,batch_B28B_cell_6.h5,batch_B28B_cell_6,B28B,6,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.0518170829492022,-1.217480797642475,-1.305613625896906,-1.5813230068710251,1.6656482166183444,1.3608054724012892,batch_B28B_cell_11.h5,batch_B28B_cell_11,B28B,11,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-1.2730190686623395,-1.467402252559544,-1.438755543315061,-1.7677604713684665,1.6650815099322813,1.342475792610288,batch_B28B_cell_8.h5,batch_B28B_cell_8,B28B,8,C,NMC532,Gen 2,Argonne,12,Short,2
2323,-0.9865168158725844,-1.144095768538853,-1.1977319818084562,-1.4537166236913246,1.6682998402375815,1.3800930362734536,batch_B28B_cell_16.h5,batch_B28B_cell_16,B28B,16,C,NMC532,Gen 2,Argonne,12,Short,2
2324,-0.9274249383687361,-1.0880028285743317,-1.1849640482818218,-1.386299955428312,1.6731724919281332,1.3670933745554321,batch_B28B_cell_13.h5,batch_B28B_cell_13,B28B,13,C,NMC532,Gen 2,Argonne,12,Short,2
2324,-1.0400199143734083,-1.1867661573662898,-1.2676306905207382,-1.5497836427415619,1.6654795871425043,1.340935549207293,batch_B28B_cell_2.h5,batch_B28B_cell_2,B28B,2,C,NMC532,Gen 2,Argonne,12,Short,2
